playerName,sport,position,realrating,,,,,Sport,Position,Symbol
Shohei Ohtani,MLB,Batter,266.3,,,,,MLB,Batter,batter
Aaron Judge,MLB,Batter,244,,,,,MLB,Starting Pitcher,pitcher
Kyle Schwarber,MLB,Batter,224.8,,,,,MLB,Relief Pitcher,relief
Cal Raleigh,MLB,Batter,223.3,,,,,NBA,All,nba
Pete Alonso,MLB,Batter,217.2,,,,,WNBA,All,wnba
Juan Soto,MLB,Batter,214.5,,,,,NFL,Offense,nflo
Jose Ramirez,MLB,Batter,204.3,,,,,NFL,Defense,nfld
Francisco Lindor,MLB,Batter,202.3,,,,,CFB,Offense,cfbo
Bobby Witt Jr.,MLB,Batter,201.9,,,,,CFB,Defense,cfbd
Geraldo Perdomo,MLB,Batter,199.6,,,,,CBB,All,cbb
Julio Rodriguez,MLB,Batter,198.9,,,,,NHL,All,nhl
Eugenio Suarez,MLB,Batter,196.1,,,,,Golf,All,golf
Riley Greene,MLB,Batter,191.6,,,,,,,
Rafael Devers,MLB,Batter,191.3,,,,,,,
Corbin Carroll,MLB,Batter,190.9,,,,,,,
Trevor Story,MLB,Batter,187.9,,,,,,,
Pete Crow-Armstrong,MLB,Batter,187.9,,,,,,,
George Springer,MLB,Batter,186,,,,,,,
Junior Caminero,MLB,Batter,185.6,,,,,,,
Vinnie Pasquantino,MLB,Batter,185.4,,,,,,,
James Wood,MLB,Batter,185.2,,,,,,,
Freddie Freeman,MLB,Batter,183.3,,,,,,,
Matt Olson,MLB,Batter,182.3,,,,,,,
Bo Bichette,MLB,Batter,181,,,,,,,
Brent Rooker,MLB,Batter,180.4,,,,,,,
Manny Machado,MLB,Batter,180,,,,,,,
Elly De La Cruz,MLB,Batter,179.9,,,,,,,
Byron Buxton,MLB,Batter,179,,,,,,,
Vladimir Guerrero Jr,MLB,Batter,177.8,,,,,,,
Christian Yelich,MLB,Batter,177.7,,,,,,,
Josh Naylor,MLB,Batter,177.6,,,,,,,
Taylor Ward,MLB,Batter,176.9,,,,,,,
Cody Bellinger,MLB,Batter,175,,,,,,,
Fernando Tatis Jr.,MLB,Batter,174.1,,,,,,,
Trea Turner,MLB,Batter,172,,,,,,,
Jarren Duran,MLB,Batter,171.9,,,,,,,
Yandy Diaz,MLB,Batter,171.2,,,,,,,
Brice Turang,MLB,Batter,170.9,,,,,,,
Maikel Garcia,MLB,Batter,170.9,,,,,,,
Randy Arozarena,MLB,Batter,170.7,,,,,,,
Tyler Solderstrom,MLB,Batter,168.1,,,,,,,
Seiya Suzuki,MLB,Batter,167.8,,,,,,,
Hunter Goodman,MLB,Batter,167.6,,,,,,,
Jo Adell,MLB,Batter,166.7,,,,,,,
Michael Busch,MLB,Batter,166.1,,,,,,,
Brandon Nimmo,MLB,Batter,163.2,,,,,,,
Gunnar Henderson,MLB,Batter,162.9,,,,,,,
Salvador Perez,MLB,Batter,162.5,,,,,,,
Andy Pages,MLB,Batter,161.4,,,,,,,
Willy Adames,MLB,Batter,160.9,,,,,,,
Nick Kurtz,MLB,Batter,160,,,,,,,
Kyle Tucker,MLB,Batter,159.2,,,,,,,
Jackson Chourio,MLB,Batter,158.1,,,,,,,
Mookie Betts,MLB,Batter,156.3,,,,,,,
Michael Harris II,MLB,Batter,153.4,,,,,,,
William Contreras,MLB,Batter,153.4,,,,,,,
Shea Langeliers,MLB,Batter,152.9,,,,,,,
Ketel Marte,MLB,Batter,152.6,,,,,,,
Jose Altuve,MLB,Batter,151.7,,,,,,,
Nico Hoerner,MLB,Batter,151.6,,,,,,,
Spencer Torkelson,MLB,Batter,151.3,,,,,,,
Ian Happ,MLB,Batter,151.1,,,,,,,
CJ Abrams,MLB,Batter,150.8,,,,,,,
Bryce Harper,MLB,Batter,150.7,,,,,,,
Tarik Skubal,MLB,Pitcher,150.4,,,,,,,
Christian Walker,MLB,Batter,149.5,,,,,,,
Trent Grisham,MLB,Batter,148.7,,,,,,,
Dansby Swanson,MLB,Batter,148.6,,,,,,,
Bryan Reynolds,MLB,Batter,146.1,,,,,,,
Jorge Polanco,MLB,Batter,146,,,,,,,
Steven Kwan,MLB,Batter,145.9,,,,,,,
Jazz Chisolm,MLB,Batter,145,,,,,,,
Zach Neto,MLB,Batter,144.7,,,,,,,
Ceddanne Rafaela,MLB,Batter,143.2,,,,,,,
Willson Contreras,MLB,Batter,143.1,,,,,,,
Teoscar Hernandez,MLB,Batter,142.9,,,,,,,
Heliot Ramos,MLB,Batter,142.7,,,,,,,
Jeremy Pena,MLB,Batter,142.6,,,,,,,
Garrett Crochet,MLB,Pitcher,142.3,,,,,,,
Brandon Lowe,MLB,Batter,142,,,,,,,
Cristopher Sanchez,MLB,Pitcher,142,,,,,,,
Kyle Stowers,MLB,Batter,141.4,,,,,,,
Lawrence Butler,MLB,Batter,140.7,,,,,,,
Gleyber Torres,MLB,Batter,140.1,,,,,,,
Luis Arraez,MLB,Batter,139.9,,,,,,,
Lourdes Gurriel Jr.,MLB,Batter,138.8,,,,,,,
Jacob Wilson,MLB,Batter,138.2,,,,,,,
Nathaniel Lowe,MLB,Batter,138.1,,,,,,,
Paul Skenes,MLB,Pitcher,137.3,,,,,,,
Otto Lopez,MLB,Batter,137.3,,,,,,,
Alec Burleson,MLB,Batter,137.1,,,,,,,
